person_id,person_name,role,event_year,event_title,event_id,event_type,tipo
366744,Giuseppe Volpi di Misurata,Presidente,1937,Manifestazioni Teatrali della Biennale per l'estate veneziana 1937,405,manifestazione,annali_teatro
366744,Giuseppe Volpi di Misurata,Presidente,1938,6. Esposizione Internazionale d'Arte Cinematografica,12,manifestazione,annali_cinema
366744,Giuseppe Volpi di Misurata,Presidente,1938,6. Festival Internazionale di Musica Contemporanea della Biennale d'Arte,133,manifestazione,annali_musica
366744,Giuseppe Volpi di Misurata,Giuria Internazionale,1938,6. Esposizione Internazionale d'Arte Cinematografica,12,manifestazione,annali_cinema
366744,Giuseppe Volpi di Misurata,Consiglio di Amministrazione,1938,21. Esposizione Biennale Internazionale d'Arte,11,manifestazione,annali_arti_visive
366744,Giuseppe Volpi di Misurata,Presidente,1939,7. Esposizione Internazionale d'Arte Cinematografica,13,manifestazione,annali_cinema
366744,Giuseppe Volpi di Misurata,Presidente,1939,La Stagione Goldoniana,89,manifestazione,annali_teatro
366744,Giuseppe Volpi di Misurata,Giuria Internazionale,1939,7. Esposizione Internazionale d'Arte Cinematografica,13,manifestazione,annali_cinema
366744,Giuseppe Volpi di Misurata,Presidente,1940,Manifestazione Cinematografica di Venezia – Settimana Cinematografica Italo-Tedesca,15,manifestazione,annali_cinema
366744,Giuseppe Volpi di Misurata,Consiglio di Amministrazione,1940,22. Esposizione Biennale Internazionale d'Arte,14,manifestazione,annali_arti_visive
366744,Giuseppe Volpi di Misurata,Commissione esecutiva,1940,22. Esposizione Biennale Internazionale d'Arte,14,manifestazione,annali_arti_visive
366744,Giuseppe Volpi di Misurata,Presidente,1941,9. Mostra Internazionale d'Arte Cinematografica,16,manifestazione,annali_cinema
366744,Giuseppe Volpi di Misurata,Presidente,1941,Recite all'aperto,92,manifestazione,annali_teatro
366744,Giuseppe Volpi di Misurata,Presidente,1941,7. Festa Internazionale della Musica,134,manifestazione,annali_musica
366744,Giuseppe Volpi di Misurata,Giuria Internazionale,1941,9. Mostra Internazionale d'Arte Cinematografica,16,manifestazione,annali_cinema
366744,Giuseppe Volpi di Misurata,Presidente,1942,10. Mostra Internazionale d'Arte Cinematografica,18,manifestazione,annali_cinema
366744,Giuseppe Volpi di Misurata,Presidente,1942,8. Rassegna Internazionale di Musica Contemporanea,137,manifestazione,annali_musica
366744,Giuseppe Volpi di Misurata,Giuria Internazionale,1942,10. Mostra Internazionale d'Arte Cinematografica,18,manifestazione,annali_cinema
366744,Giuseppe Volpi di Misurata,Commissione esecutiva,1942,23. Esposizione Biennale Internazionale d'Arte,17,manifestazione,annali_arti_visive
366744,Giuseppe Volpi di Misurata,Consiglio di Amministrazione,1942,23. Esposizione Biennale Internazionale d'Arte,17,manifestazione,annali_arti_visive
425247,Franco Piso,Collegio dei Sindaci,1990,44. Esposizione Internazionale d'Arte : Dimensione Futuro - L'artista e lo Spazio,244,manifestazione,annali_arti_visive
425247,Franco Piso,Collegio dei Sindaci,1991,Quinta Mostra Internazionale di Architettura,94,manifestazione,annali_architettura
425247,Franco Piso,Collegio dei Sindaci,1992,Architettura e Spazio Sacro nella Modernità,441,manifestazione,altro
425247,Franco Piso,Collegio dei Sindaci,1993,45. Esposizione Internazionale d'Arte : punti cardinali dell'arte,249,manifestazione,annali_arti_visive
376794,Emilio Quadrelli,Decorazione,1903,Sala lombarda,2038,section,annali_arti_visive
