Artist_URI,Wikidata_ID,Artist_Name,Gender,Birthplace,Deathplace,Birthdate,Deathdate,Nationality,Work_Location_English,Start_Date,End_Date,VB_name
https://data.rkd.nl/artists/435922,Q1912843,"Klein, Max",Male,Gönc,Grunewald (Berlin),1847,1908,Hungarian,Berlin,1874,1874,Max Klein
https://data.rkd.nl/artists/435980,Q18523964,"Klotz, Edmund",Male,Inzing (Tyrol),Vienna (city),1855,1929,Austrian,Munich,nan,nan,Edmund Klotz
https://data.rkd.nl/artists/435980,Q18523964,"Klotz, Edmund",Male,Inzing (Tyrol),Vienna (city),1855,1929,Austrian,Florence,nan,nan,Edmund Klotz
https://data.rkd.nl/artists/435980,Q18523964,"Klotz, Edmund",Male,Inzing (Tyrol),Vienna (city),1855,1929,Austrian,Rome,nan,nan,Edmund Klotz
https://data.rkd.nl/artists/435980,Q18523964,"Klotz, Edmund",Male,Inzing (Tyrol),Vienna (city),1855,1929,Austrian,Vienna,nan,nan,Edmund Klotz
https://data.rkd.nl/artists/43616,Q919265,"Katz, Alex",Male,New York City,,1927,nan,American,Skowhegan,1946,1950,Alex Katz
https://data.rkd.nl/artists/43616,Q919265,"Katz, Alex",Male,New York City,,1927,nan,American,New York City,1946,1946,Alex Katz
https://data.rkd.nl/artists/43643,Q266415,"Kaufmann, Isidor",Male,"Arad (city, Romania)",Vienna (city),1853,1921,Romanian,Budapest,1875,1876,Isidor Kaufmann
https://data.rkd.nl/artists/43643,Q266415,"Kaufmann, Isidor",Male,"Arad (city, Romania)",Vienna (city),1853,1921,Romanian,Vienna,1876,1876,Isidor Kaufmann
https://data.rkd.nl/artists/43643,Q266415,"Kaufmann, Isidor",Male,"Arad (city, Romania)",Vienna (city),1853,1921,Romanian,Galicia,nan,nan,Isidor Kaufmann
https://data.rkd.nl/artists/43643,Q266415,"Kaufmann, Isidor",Male,"Arad (city, Romania)",Vienna (city),1853,1921,Romanian,Hungary,nan,nan,Isidor Kaufmann
https://data.rkd.nl/artists/43643,Q266415,"Kaufmann, Isidor",Male,"Arad (city, Romania)",Vienna (city),1853,1921,Romanian,Poland,nan,nan,Isidor Kaufmann
https://data.rkd.nl/artists/43643,Q266415,"Kaufmann, Isidor",Male,"Arad (city, Romania)",Vienna (city),1853,1921,Romanian,Vienna,1888,1888,Isidor Kaufmann
https://data.rkd.nl/artists/4366,Q561930,"Barceló, Miquel",Male,Felanitx,,1957,nan,Spanish,Palma de Mallorca,nan,nan,Miquel Barceló
https://data.rkd.nl/artists/4366,Q561930,"Barceló, Miquel",Male,Felanitx,,1957,nan,Spanish,Mali,nan,nan,Miquel Barceló
https://data.rkd.nl/artists/4366,Q561930,"Barceló, Miquel",Male,Felanitx,,1957,nan,Spanish,Paris,nan,nan,Miquel Barceló
https://data.rkd.nl/artists/43662,Q698256,"Kawara, On",Male,Kariya (Aichi),New York City,1932,2014,Japanese,Tokyo,1951,1959,On Kawara
https://data.rkd.nl/artists/43662,Q698256,"Kawara, On",Male,Kariya (Aichi),New York City,1932,2014,Japanese,Mexico,1959,1959,On Kawara
https://data.rkd.nl/artists/43662,Q698256,"Kawara, On",Male,Kariya (Aichi),New York City,1932,2014,Japanese,Europe,nan,nan,On Kawara
https://data.rkd.nl/artists/43662,Q698256,"Kawara, On",Male,Kariya (Aichi),New York City,1932,2014,Japanese,New York City,1965,2014,On Kawara
https://data.rkd.nl/artists/436623,,"Sapountzis, Yorgos",Male,Athene,,1976,nan,Greek,Berlin,2011,2011,Yorgos Sapountzis
https://data.rkd.nl/artists/43666,Q6137113,"Kay, James",Male,Lamlash (Scotland),Whistlefield,1858,1942,Scottish,Netherlands,1897,1897,James Kay
https://data.rkd.nl/artists/43666,Q6137113,"Kay, James",Male,Lamlash (Scotland),Whistlefield,1858,1942,Scottish,Rotterdam,1897,1897,James Kay
https://data.rkd.nl/artists/43714,Q943757,"Keene, Charles",Male,Hornsey,London (England),1823,1891,English,London,1838,1891,Charles Keene
